Configuración,Neuronas ocultas,tasa de aprendizaje,unbalanced data,missing data,split ration,Tiempo de entrenamiento,Error sobre entrenamiento,Error sobre prueba,Numero de iteraciones,Correctos en entrenamiento,Tamaño entrenamiento,Correctos en prueba,Tamaño prueba,positivos en entrenamiento,positivos en prueba
1,6,0.01,,zero,0.3,60.087761616,0.24501002934504387,0.24516564190187207,471,190,335,445,782,150,343
2,6,0.01,,zero,0.5,60.04518342,0.2472227991550811,0.24570485418303298,281,309,559,322,558,255,238
3,6,0.01,,zero,0.7,60.165663992,0.24643817169881133,0.24633409702290796,297,443,782,186,335,342,151
4,6,0.01,,mean,0.3,60.023132404,0.24730640910557117,0.24658198240522586,691,187,335,437,782,148,345
5,6,0.01,,mean,0.5,60.080078549,0.24874792355642977,0.24453289981247753,414,301,559,325,558,259,234
6,6,0.01,,mean,0.7,60.197721769,0.24672428034066934,0.24627877815713578,295,437,782,188,335,346,147
7,6,0.05,,zero,0.3,60.060005409,0.25169156833558987,0.24863496927789763,698,160,335,451,782,162,331
8,6,0.05,,zero,0.5,60.021437021,0.24848258511248833,0.24441521112667924,418,297,559,321,558,256,237
9,6,0.05,,zero,0.7,60.126677881,0.2482521653055171,0.24667649816819393,296,429,782,186,335,343,150
10,6,0.05,,mean,0.3,60.081410199,0.2415877596177307,0.25575759368508155,691,202,335,422,782,133,360
11,6,0.05,,mean,0.5,60.04851921,0.2443837286672441,0.2539037128833706,414,321,559,303,558,238,255
12,6,0.05,,mean,0.7,60.051353768,0.25245472528156576,0.24666108605002018,294,415,782,193,335,351,142
13,6,0.1,,zero,0.3,60.008840128,0.247931660850655,0.2481574877623239,697,186,335,435,782,146,347
14,6,0.1,,zero,0.5,60.137239291,0.2456361804149154,0.24799551735470274,415,320,559,304,558,239,254
15,6,0.1,,zero,0.7,60.062601405,0.24535901294340617,0.2493691968050263,293,437,782,180,335,337,156
16,6,0.1,,mean,0.3,60.062015618,0.2445581810824025,0.24953934734530103,690,190,335,429,782,140,353
17,6,0.1,,mean,0.5,60.117410759,0.2506901907606578,0.24576737584308772,417,290,559,326,558,261,232
18,6,0.1,,mean,0.7,60.10057121,0.2516705780839902,0.2574283599913178,295,402,782,131,335,361,132
19,6,0.2,,zero,0.3,60.005253863,0.25310132838920163,0.2434069026649095,698,170,335,452,782,160,333
20,6,0.2,,zero,0.5,60.001031796,0.24912212256464464,0.24955849716625494,418,315,559,305,558,240,253
21,6,0.2,,zero,0.7,60.081784539,0.2518763591780757,0.2655435337040514,296,428,782,186,335,344,149
22,6,0.2,,mean,0.3,60.049648358,0.2524204282491035,0.24451770918909613,692,175,335,449,782,160,333
23,6,0.2,,mean,0.5,60.059589997,0.2522602843124617,0.26105167945562846,413,299,559,245,558,248,245
24,6,0.2,,mean,0.7,60.165238059,0.25161208004500524,0.24043152845737578,298,409,782,201,335,359,134
25,6,0.3,,zero,0.3,60.020438179,0.2500000000000009,0.24999999999999764,692,134,335,357,782,135,358
26,6,0.3,,zero,0.5,60.117476787,0.2507378858108954,0.25943482315907807,415,290,559,240,558,253,240
27,6,0.3,,zero,0.7,60.106154276,0.249173137206409,0.24589971261054241,294,428,782,189,335,347,146
28,6,0.3,,mean,0.3,60.059048096,0.25268257230132446,0.24602080945103347,689,175,335,442,782,153,340
29,6,0.3,,mean,0.5,60.004278604,0.2536999601061787,0.24793535679988465,417,297,559,308,558,243,250
30,6,0.3,,mean,0.7,60.14674918,0.24999999999999759,0.25000000000000083,293,343,782,150,335,343,150
31,7,0.01,,zero,0.3,60.011826087,0.2421146765072899,0.24589724752195397,602,196,335,435,782,141,352
32,7,0.01,,zero,0.5,60.031713197,0.2461005090143646,0.24835389121228046,358,315,559,309,558,244,249
33,7,0.01,,zero,0.7,60.047748675,0.24576538836393227,0.24930112959463316,251,444,782,181,335,339,154
34,7,0.01,,mean,0.3,60.030427159,0.2453701366170572,0.24654922224048145,595,189,335,437,782,148,345
35,7,0.01,,mean,0.5,60.118547028,0.24681208843197816,0.24673951107332728,361,313,559,311,558,246,247
36,7,0.01,,mean,0.7,60.024950066,0.24677993731531808,0.24359597210865172,254,435,782,194,335,351,142
37,7,0.05,,zero,0.3,60.089723859,0.24730555134127855,0.24705695075357176,591,167,335,459,782,163,330
38,7,0.05,,zero,0.5,60.066244972,0.24825603771782762,0.24552255582752827,356,307,559,317,558,252,241
39,7,0.05,,zero,0.7,60.030430436,0.24999999999999759,0.24931884799729112,253,354,782,139,335,354,139
40,7,0.05,,mean,0.3,60.053500921,0.2477456256051738,0.2557451372729054,592,177,335,436,782,147,346
41,7,0.05,,mean,0.5,60.110165555,0.24361755393980072,0.24905342482753232,359,325,559,297,558,231,262
42,7,0.05,,mean,0.7,60.184209978,0.24759627984025312,0.24253593563453546,256,427,782,196,335,352,141
43,7,0.1,,zero,0.3,60.082334551,0.24562887273072312,0.2579976097236458,588,187,335,432,782,143,350
