Configuración,Neuronas ocultas,tasa de aprendizaje,unbalanced data,missing data,split ration,Tiempo de entrenamiento,Error sobre entrenamiento,Error sobre prueba,Numero de iteraciones,Correctos en entrenamiento,Tamaño entrenamiento,Correctos en prueba,Tamaño prueba,positivos en entrenamiento,positivos en prueba
1,6,0.01,adasyn,zero,0.3,60.061485884,0.2497851868681176,0.25062429591425633,741,149,287,343,668,149,344
2,6,0.01,adasyn,zero,0.5,60.123542134,0.2525786078389971,0.24968448555883682,430,240,478,258,477,235,258
3,6,0.01,adasyn,zero,0.7,60.068578673,0.2503752337893464,0.24916850779680536,295,329,669,154,286,339,154
4,6,0.01,adasyn,mean,0.3,60.051406462,0.24241499380741208,0.2486408891264763,1024,168,303,363,706,143,350
5,6,0.01,adasyn,mean,0.5,60.074002302,0.2502005674991112,0.24970721982051955,608,256,505,248,504,245,248
6,6,0.01,adasyn,mean,0.7,60.020612785,0.2502656035334295,0.24982224683598284,428,349,706,159,303,349,144
7,6,0.05,adasyn,zero,0.3,60.003457411,0.2512495138537581,0.25038394341415066,1092,144,287,348,668,144,349
8,6,0.05,adasyn,zero,0.5,60.078302057,0.25140262986420653,0.2497531495055568,652,228,478,246,477,247,246
9,6,0.05,adasyn,zero,0.7,60.00977325,0.2518787575915469,0.2514089838813803,457,325,669,127,286,334,159
10,6,0.05,adasyn,mean,0.3,60.044218236,0.24964091751094666,0.24891250660046352,1017,151,303,365,706,149,344
11,6,0.05,adasyn,mean,0.5,60.058050277,0.2500175550375776,0.2536504016914667,605,268,505,248,504,237,256
12,6,0.05,adasyn,mean,0.7,60.085186612,0.25063241648406687,0.24798746299726682,429,339,706,164,303,353,140
13,6,0.1,adasyn,zero,0.3,60.042477464,0.2520367748520361,0.24968539344999144,1099,143,287,349,668,144,349
14,6,0.1,adasyn,zero,0.5,60.079006341,0.252302308417256,0.24954222755308436,651,221,478,254,477,239,254
15,6,0.1,adasyn,zero,0.7,60.060475219,0.2494791744709323,0.2528022509924209,458,336,669,137,286,356,137
16,6,0.1,adasyn,mean,0.3,60.032627322,0.251017789473835,0.25125875186501134,1011,159,303,355,706,142,351
17,6,0.1,adasyn,mean,0.5,60.066615569,0.24205173469951896,0.25791153389627586,602,291,505,242,504,231,262
18,6,0.1,adasyn,mean,0.7,60.049811714,0.25146228195704895,0.2507023417059566,422,366,706,157,303,347,146
19,6,0.2,adasyn,zero,0.3,60.004062435,0.25327787358356585,0.25424429745674626,1083,139,287,320,668,144,349
20,6,0.2,adasyn,zero,0.5,60.035947989,0.25655731612105476,0.2556010077563165,647,245,478,236,477,257,236
21,6,0.2,adasyn,zero,0.7,60.131646086,0.25344649572292904,0.25765278836935857,463,332,669,149,286,344,149
22,6,0.2,adasyn,mean,0.3,60.010471838,0.2570295368714447,0.24942119739692062,1009,145,303,370,706,157,336
23,6,0.2,adasyn,mean,0.5,60.044851844,0.2507017371396793,0.2545974176779855,605,271,505,262,504,245,248
24,6,0.2,adasyn,mean,0.7,60.104502461,0.2547462643734561,0.26299144096192245,426,377,706,149,303,339,154
25,6,0.3,adasyn,zero,0.3,60.024460135,0.2621627144362454,0.2500845938407435,1091,136,287,329,668,144,349
26,6,0.3,adasyn,zero,0.5,60.050825303,0.251441390461127,0.2532240876388972,653,256,478,234,477,250,243
27,6,0.3,adasyn,zero,0.7,60.099042998,0.2548766179689887,0.25403308375010236,456,332,669,134,286,340,153
28,6,0.3,adasyn,mean,0.3,60.006009923,0.2519874057427604,0.27296689148979986,1022,165,303,329,706,164,329
29,6,0.3,adasyn,mean,0.5,60.056102953,0.25918265157431575,0.25816354422321414,609,241,505,256,504,245,248
30,6,0.3,adasyn,mean,0.7,60.051417197,0.26117287180290827,0.2560121559215625,431,344,706,135,303,357,136
31,7,0.01,adasyn,zero,0.3,60.041105863,0.2483978721020901,0.2507292593111766,956,153,287,319,668,136,357
32,7,0.01,adasyn,zero,0.5,60.080024173,0.25429959443792477,0.25755236695806916,568,237,478,225,477,241,252
33,7,0.01,adasyn,zero,0.7,60.1474722,0.24984298628385154,0.2527418590066634,401,355,669,137,286,356,137
34,7,0.01,adasyn,mean,0.3,60.00356597,0.24883255712836846,0.24947505578383286,887,158,303,336,706,157,336
35,7,0.01,adasyn,mean,0.5,60.010320572,0.250122812045332,0.25373187135368086,524,266,505,251,504,240,253
36,7,0.01,adasyn,mean,0.7,60.024922685,0.24920323318160545,0.2530228870026266,372,377,706,140,303,331,162
37,7,0.05,adasyn,zero,0.3,60.051647196,0.2500902301714478,0.24994824457772444,949,142,287,342,668,151,342
38,7,0.05,adasyn,zero,0.5,60.060010279,0.2524979201788592,0.25150551131131027,565,230,478,224,477,240,253
39,7,0.05,adasyn,zero,0.7,60.046809371,0.25035298562345176,0.24904632015579625,403,333,669,148,286,345,148
40,7,0.05,adasyn,mean,0.3,60.038906476,0.2505996011771606,0.2501173814994689,885,146,303,338,706,155,338
41,7,0.05,adasyn,mean,0.5,60.085643216,0.25132709639218886,0.2503163475648523,528,245,505,258,504,249,244
42,7,0.05,adasyn,mean,0.7,60.006252941,0.2514914381488383,0.2513444260061518,375,344,706,148,303,345,148
43,7,0.1,adasyn,zero,0.3,60.051228792,0.25114808109010683,0.25281374410183116,952,142,287,321,668,146,347
44,7,0.1,adasyn,zero,0.5,60.0721862,0.2529654901191075,0.27358973782075546,564,241,478,215,477,231,262
45,7,0.1,adasyn,zero,0.7,60.083671571,0.2512195307815323,0.251173925324985,376,336,669,141,286,348,145
46,7,0.1,adasyn,mean,0.3,60.039967783,0.25314811085344757,0.2494161967367413,857,141,303,345,706,148,345
47,7,0.1,adasyn,mean,0.5,60.055381634,0.24906558512843863,0.25156532123392755,518,261,505,261,504,249,244
48,7,0.1,adasyn,mean,0.7,60.112931982,0.25239984270874105,0.24969357972156464,362,347,706,157,303,347,146
49,7,0.2,adasyn,zero,0.3,60.022158838,0.2468851469959901,0.25238892633562016,924,153,287,333,668,159,334
50,7,0.2,adasyn,zero,0.5,60.066276447,0.2552287043902783,0.2537224122743397,560,230,478,218,477,234,259
51,7,0.2,adasyn,zero,0.7,60.030775925,0.25822554815507687,0.2583941072861525,389,331,669,137,286,344,149
52,7,0.2,adasyn,mean,0.3,60.005983066,0.25997276835936944,0.2525617228437174,869,155,303,366,706,153,340
53,7,0.2,adasyn,mean,0.5,60.031653317,0.25656285291612846,0.27773729950496734,518,244,505,234,504,259,234
54,7,0.2,adasyn,mean,0.7,60.014963901,0.2514317546665899,0.25631935111817433,372,363,706,134,303,359,134
55,7,0.3,adasyn,zero,0.3,60.006570732,0.2624709841370354,0.26542964693906396,951,141,287,319,668,144,349
56,7,0.3,adasyn,zero,0.5,60.043339743,0.26234641447856555,0.26658953389056056,562,238,478,222,477,238,255
57,7,0.3,adasyn,zero,0.7,60.083338946,0.25034556226737026,0.2530100716466569,400,354,669,148,286,355,138
58,7,0.3,adasyn,mean,0.3,60.040265108,0.2637073826467347,0.26095170609344276,889,143,303,341,706,152,341
59,7,0.3,adasyn,mean,0.5,60.052586951,0.2548282684422355,0.2500068103430304,523,250,505,252,504,241,252
60,7,0.3,adasyn,mean,0.7,60.086142875,0.25689652937314766,0.25241858712472476,369,344,706,164,303,354,139
61,8,0.01,adasyn,zero,0.3,60.02174451,0.24581585308667517,0.25731641735415506,816,163,287,328,668,163,330
62,8,0.01,adasyn,zero,0.5,60.015708565,0.2514479721309059,0.24827527259816207,494,231,478,231,477,242,251
63,8,0.01,adasyn,zero,0.7,60.100941654,0.24911216909490108,0.2524805349827246,346,356,669,137,286,356,137
64,8,0.01,adasyn,mean,0.3,60.064532289,0.24974507352671269,0.2494564629156813,750,152,303,365,706,150,343
65,8,0.01,adasyn,mean,0.5,60.03665221,0.24756204534855544,0.2484109922816677,450,255,505,267,504,252,241
66,8,0.01,adasyn,mean,0.7,60.14431174,0.25017018546921915,0.25017293986553213,327,345,706,146,303,347,146
67,8,0.05,adasyn,zero,0.3,60.036754077,0.2527370558372329,0.2521415419265096,825,141,287,352,668,140,353
68,8,0.05,adasyn,zero,0.5,60.035189041,0.2512656191068172,0.24672626943262335,488,233,478,241,477,252,241
69,8,0.05,adasyn,zero,0.7,60.011771437,0.2503678074965874,0.2639309759054786,344,340,669,134,286,342,151
70,8,0.05,adasyn,mean,0.3,60.035399325,0.2500994442332306,0.2538396844734528,768,162,303,359,706,146,347
71,8,0.05,adasyn,mean,0.5,60.062580099,0.24760509071092046,0.2619952381992847,450,266,505,249,504,235,258
72,8,0.05,adasyn,mean,0.7,60.03660685,0.5056180174462048,0.5247028649031431,320,349,706,144,303,349,144
73,8,0.1,adasyn,zero,0.3,60.037573315,0.2551667761408523,0.253710614905238,805,142,287,342,668,151,342
74,8,0.1,adasyn,zero,0.5,60.043629748,0.25706491185223507,0.2501460039891764,474,234,478,228,477,244,249
75,8,0.1,adasyn,zero,0.7,60.085777711,0.25322159802811056,0.2499638782997211,336,325,669,144,286,349,144
76,8,0.1,adasyn,mean,0.3,60.001637937,0.2515448972428164,0.24972601266394515,739,146,303,360,706,146,347
77,8,0.1,adasyn,mean,0.5,60.092189666,0.4831626520495348,0.5396762091284075,450,261,505,232,504,261,232
78,8,0.1,adasyn,mean,0.7,60.164843789,0.25331180177756263,0.24951825060607294,326,341,706,157,303,346,147
79,8,0.2,adasyn,zero,0.3,60.030042995,0.2547211330948638,0.2969780846484849,835,147,287,334,668,158,335
80,8,0.2,adasyn,zero,0.5,60.01438747,0.25771883460641454,0.25316848951778664,488,243,478,252,477,241,252
81,8,0.2,adasyn,zero,0.7,60.09605055,0.25714747305809504,0.25658720484944386,347,337,669,139,286,354,139
82,8,0.2,adasyn,mean,0.3,60.033240711,0.2578501594905218,0.26338254508756714,777,156,303,346,706,147,346
83,8,0.2,adasyn,mean,0.5,60.024582027,0.252140709161666,0.2669957952339799,458,264,505,246,504,235,258
84,8,0.2,adasyn,mean,0.7,60.026680535,0.25611886322845395,0.2605030283793377,325,368,706,139,303,354,139
85,8,0.3,adasyn,zero,0.3,60.019242595,0.2664443583589556,0.24873309840809862,795,127,287,324,668,145,348
86,8,0.3,adasyn,zero,0.5,60.118553952,0.25610067283274424,0.26352413361091426,470,240,478,238,477,253,240
87,8,0.3,adasyn,zero,0.7,60.179988878,0.26082684492191205,0.2573580978630131,297,329,669,148,286,345,148
88,8,0.3,adasyn,mean,0.3,60.070447723,0.26222145520471185,0.25938320530848685,689,157,303,344,706,147,346
89,8,0.3,adasyn,mean,0.5,60.09328896,0.2514217653191703,0.24966025643428785,448,272,505,249,504,237,256
90,8,0.3,adasyn,mean,0.7,60.130241984,0.26084868509129233,0.2544177869019797,321,360,706,155,303,338,155
91,9,0.01,adasyn,zero,0.3,60.06505299,0.2503564416202998,0.24973211222130584,717,148,287,345,668,148,345
92,9,0.01,adasyn,zero,0.5,60.141078426,0.25138228202465634,0.2502039431448967,428,251,478,241,477,252,241
93,9,0.01,adasyn,zero,0.7,60.029560209,0.24846579779418979,0.24490389527784842,307,332,669,151,286,342,151
94,9,0.01,adasyn,mean,0.3,60.07108684,0.2501234575506274,0.2500949283984,683,152,303,340,706,153,340
95,9,0.01,adasyn,mean,0.5,60.076954852,0.4950494937741259,0.4821428464111235,395,255,505,261,504,250,243
96,9,0.01,adasyn,mean,0.7,60.026076495,0.25016550007173105,0.24984476311091608,287,361,706,156,303,345,148
97,9,0.05,adasyn,zero,0.3,60.038127733,0.2510439484261434,0.25074668706170433,714,146,287,326,668,151,342
98,9,0.05,adasyn,zero,0.5,60.075063925,0.24631826030348503,0.24785193845095638,440,233,478,251,477,242,251
99,9,0.05,adasyn,zero,0.7,60.103705659,0.2492890203802111,0.26774255439288935,311,356,669,128,286,334,159
