Configuración,Neuronas ocultas,tasa de aprendizaje,unbalanced data,missing data,split ration,Tiempo de entrenamiento,Error sobre entrenamiento,Error sobre prueba,Numero de iteraciones,Correctos en entrenamiento,Tamaño entrenamiento,Correctos en prueba,Tamaño prueba,positivos en entrenamiento,positivos en prueba
1,6,0.01,,zero,0.3,60.011313324,0.15862835946667467,0.1701711884573503,1406,150,187,342,437,150,343
2,6,0.01,,zero,0.5,60.033120473,0.15736462334462478,0.17494851912728454,1066,251,312,242,312,251,242
3,6,0.01,,zero,0.7,60.053688475,0.1699036127222033,0.15599402703533066,756,342,437,151,187,342,151
4,6,0.01,,mean,0.3,60.009497892,0.16211460896635538,0.16751818317954514,1790,149,187,344,437,149,344
5,6,0.01,,mean,0.5,60.043316863,0.1573644156050486,0.17482079140599519,1091,251,312,242,312,251,242
6,6,0.01,,mean,0.7,60.04052261,0.1690690230670469,0.1590041217156076,764,343,437,150,187,343,150
7,6,0.05,,zero,0.3,60.00102974,0.155445201047695,0.1704444619540504,1828,151,187,342,437,151,342
8,6,0.05,,zero,0.5,60.042828398,0.1515042247186676,0.1815898402798967,1077,254,312,239,312,254,239
9,6,0.05,,zero,0.7,60.073313822,0.16687885256782134,0.16506051231644575,765,345,437,148,187,345,148
10,6,0.05,,mean,0.3,60.018608881,0.19148157387164635,0.15856039178771822,1838,139,187,354,437,139,354
11,6,0.05,,mean,0.5,60.025947086,0.16914210674521507,0.16287567468755743,1088,245,312,248,312,245,248
12,6,0.05,,mean,0.7,60.001973846,0.17190169387179188,0.15306386861218665,767,341,437,152,187,341,152
13,6,0.1,,zero,0.3,60.005047772,0.1690182247076451,0.16500798283655135,1814,147,187,346,437,147,346
14,6,0.1,,zero,0.5,60.033357396,0.15405029634404097,0.18043135575743918,1091,253,312,240,312,253,240
15,6,0.1,,zero,0.7,60.00995249,0.1697289091113696,0.15960552414268683,772,343,437,150,187,343,150
16,6,0.1,,mean,0.3,60.000991104,0.13889026465080767,0.18052137698088902,1817,156,187,337,437,156,337
17,6,0.1,,mean,0.5,60.022387061,0.16628940154119337,0.1668661021198516,1092,247,312,246,312,247,246
